state,n,doctoral_count,ratio
Alabama,51580,460,0.008918185343156262
Alaska,6972,51,0.007314974182444062
Arizona,74153,896,0.01208312542985449
Arkansas,31288,251,0.008022244950140629
California,391171,6336,0.01619751975478755
Colorado,59841,1031,0.017228990157250046
Connecticut,37369,600,0.016056089271856352
Delaware,9641,152,0.015765999377657918
District of Columbia,6718,311,0.04629353974397142
Florida,217799,2731,0.012539084201488528
Georgia,109349,1451,0.01326944004974897
Hawaii,14995,214,0.014271423807935979
Idaho,19884,175,0.0088010460671897
Illinois,128046,1457,0.011378723271324368
Indiana,69843,620,0.00887705281846427
Iowa,33586,258,0.0076817721669743344
Kansas,29940,321,0.010721442885771542
Kentucky,46605,448,0.009612702499731788
Louisiana,45040,450,0.009991119005328597
Maine,14523,165,0.011361288989878125
Maryland,62442,1608,0.02575189776112232
Massachusetts,73077,2014,0.02755997098950422
Michigan,101512,991,0.009762392623532193
Minnesota,58984,572,0.00969754509697545
Mississippi,29796,263,0.008826688146059873
Missouri,64551,621,0.009620300227726914
Montana,11116,113,0.01016552716804606
Nebraska,19989,153,0.00765420981539847
Nevada,30749,282,0.009171029952193568
New Hampshire,14077,244,0.017333238616182425
New Jersey,93166,1438,0.015434815275959041
New Mexico,20243,350,0.017289927382304993
New York,203891,2829,0.013875060694194447
North Carolina,109230,1421,0.013009246543989746
North Dakota,8107,60,0.007401011471567781
Ohio,120666,1213,0.010052541726749872
Oklahoma,39445,281,0.007123843326150336
Oregon,43708,647,0.01480278209938684
Pennsylvania,132605,1620,0.012216733908977791
Rhode Island,10401,177,0.017017594462070955
South Carolina,54651,647,0.011838758668642842
South Dakota,9296,71,0.007637693631669535
Tennessee,72374,841,0.011620195097687015
Texas,292919,3216,0.01097914440510858
Utah,35537,428,0.012043785350479782
Vermont,6860,131,0.01909620991253644
Virginia,88761,1531,0.017248566374871845
Washington,80818,1195,0.0147863099804499
West Virginia,18135,159,0.008767576509511994
Wisconsin,61967,513,0.008278599899946747
Wyoming,5962,72,0.012076484401207649
